No,作成日,種別,タイトル（推奨案）,記事ドキュメント,note公開URL,状態,元ネタ（出典）,備考
1,2026-07-25,note記事,役員は「雇う」から「借りる」へ——米国の中小企業の4割が使い始めた「フラクショナル経営陣」,https://docs.google.com/document/d/1KB28qMv7ADpe-ENTEs7J-qihn1NkH4N4WLvTdw4OzOw/edit,,下書き（未公開）,Vendux（Henning Schwinum）2026-05ほか,顧問価値スコアカード記事と相互リンク推奨
2,2026-07-25,レポート＋X投稿,AI人材棚卸しレポート＋X投稿,,,下書き（未公開）,保管doc参照,note記事でないためドキュメント化対象外
3,2026-07-27,X投稿,役員報酬「75万円の壁」（ロング版＋140字版）,,,下書き（未公開）,年金制度改正法（2025年成立）,X用。投稿前に施行段階の最新確認を
4,2026-07-27,note記事,社員がFIREを夢見る時代に、社長がやるべきこと6つ,https://docs.google.com/document/d/1kE4Jcq4_Am25Th0MkaN6x6FcyGxlBcFuYbMVv9btnd0/edit,,下書き（未公開）,Josh Bersin「Thriving In A Casino Economy」2026-07-23,構成版（全文はチャット納品済み・再生成可）
5,2026-07-28,note記事,顧問料が「関係」で更新されるうちは脆い——数字で更新される顧問契約の作り方,https://docs.google.com/document/d/1NoVG8MexlgsWG1G9uE40CxZz1LYXPmhJaEBOpks6h14/edit,,下書き（未公開）,Henning Schwinum（Vendux）「Show Your Work」2026-07-25,Excelテンプレ同梱
6,2026-07-31,note記事＋X投稿,100年前の経営学で、あなたの会社の「属人化」を診断する,https://docs.google.com/document/d/1YLvQk0b70nNUPnVg4S1Bx7pJrTc_UOVPdWwALaKEYDY/edit,,下書き（未公開）,清水直樹（仕組み経営）ファヨール14原則 2026-07-14,構成版＋X投稿全文（note全文は再生成可）
7,2026-08-02,note記事,「任せたのに、結局ぜんぶ私に聞いてくる」——委任で渡すべきは作業ではなく、決めていい範囲です,https://docs.google.com/document/d/1DaxS0HUKux6Q_BthFzW2Cy-zoa7fJP8LNzyHSVwfZB0/edit,,下書き（未公開）,Nicholas Pope（Forbes Business Council）2026-07-30,Excel（委任の棚卸しシート）同梱
8,2026-08-04,note記事,顧客サービスは費用ではなく複利です——解約率を1年数えるだけで、値上げの根拠が手に入る,https://docs.google.com/document/d/1vCqiazLkg7oh1DpXOw6Vm1MFvoLJFirQaPOYG5A2lKQ/edit,,下書き（未公開）,Chenmark「Customer Service」2026-08-03,タイトル案3つあり
9,2026-08-04,note記事,AIを入れたのに楽にならない会社は、「検証税」を払っています,https://docs.google.com/document/d/1p8cMme9tthUY7E9KJpVlLfSNJJqD2yd5PhO_1h6NIlA/edit,,下書き（未公開）,"Adaptavist調査（知識労働者2,500名）",構成版（全文は再生成可）
10,2026-08-04,note記事,「マニュアル読んでもらえない問題」の答えは、障害者雇用の現場にありました,https://docs.google.com/document/d/1dNVXbA2lq6eTE7u5TKL2KEgTP_QmYG7jCU7qo2U9HBc/edit,,下書き（未公開）,"University of Phoenix×Harris Poll調査（1,019名）",構成版（全文は再生成可）
11,2026-08-05,X投稿,AIに奪われない能力は「聞く力」と「話す力」,,,下書き（未公開）,保管doc参照,X用
12,2026-08-07,note記事,制度を入れても定着しない会社に共通する、たった1つの欠落,https://docs.google.com/document/d/1xIjMwhDwTf9hOQC8LS1R9UXCLh7KKHfQ6uZJBlzNvFg/edit,,下書き（未公開）,伊達洋駆（ビジネスリサーチラボ）2026-08-06,完全稿。X連動案あり
13,2026-08-07,note記事,会社を潰すのは、無能な社長ではない。有能な社長だ,https://docs.google.com/document/d/1EZoT-cAcQLVCy7FkJ36y1HzewZAJ9kPYaRK9WuU0270/edit,,下書き（未公開）,伊達洋駆（ビジネスリサーチラボ）2026-08-06,完全稿。X連動案あり
